Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,525682,-,-,-,31.49,-103.38,-6,784,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature,GHI
2014,1,1,0,30,0,0,4,0
2014,1,1,1,30,0,0,3,0
2014,1,1,2,30,0,0,2,0
2014,1,1,3,30,0,0,2,0
2014,1,1,4,30,0,0,1,0
2014,1,1,5,30,0,0,0,0
2014,1,1,6,30,0,0,0,0
2014,1,1,7,30,0,0,1,0
2014,1,1,8,30,28,513,3,82
2014,1,1,9,30,50,790,7,273
2014,1,1,10,30,62,899,11,444
2014,1,1,11,30,69,950,15,568
2014,1,1,12,30,72,973,18,633
2014,1,1,13,30,71,974,19,630
2014,1,1,14,30,68,952,20,561
2014,1,1,15,30,61,897,20,432
2014,1,1,16,30,49,780,16,257
2014,1,1,17,30,25,472,12,67
2014,1,1,18,30,0,0,10,0
2014,1,1,19,30,0,0,9,0
2014,1,1,20,30,0,0,8,0
2014,1,1,21,30,0,0,7,0
2014,1,1,22,30,0,0,6,0
2014,1,1,23,30,0,0,4,0
2014,1,2,0,30,0,0,3,0
2014,1,2,1,30,0,0,1,0
2014,1,2,2,30,0,0,0,0
2014,1,2,3,30,0,0,0,0
2014,1,2,4,30,0,0,0,0
2014,1,2,5,30,0,0,0,0
2014,1,2,6,30,0,0,-1,0
2014,1,2,7,30,0,0,0,0
2014,1,2,8,30,30,504,1,83
2014,1,2,9,30,53,793,3,276
2014,1,2,10,30,64,910,4,451
2014,1,2,11,30,70,966,6,578
2014,1,2,12,30,74,985,7,643
